gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000120129,DUSP1,6,0.2604703978957818,11.918335876540668,0.9798206278026906,0.26583477679981393,0.30760865282702027,4.962734987852685e-114,1.988528207752668e-108,Sen. Tc/NK
ENSG00000227507,LTB,6,0.29218028365879345,5.114490547448342,0.968609865470852,0.3016490891477358,0.37642586020873914,2.8652675650323013e-139,1.1480897911679229e-133,Sen. Tc/NK
ENSG00000204475,NCR3,6,0.4015243253360817,1.360571021426798,0.8139013452914798,0.49333291763055764,0.44785919717123385,1.5835267091966428e-165,6.345064841614212e-160,Sen. Tc/NK
ENSG00000164442,CITED2,6,0.2523927619789693,1.8534333723004681,0.7399103139013453,0.34111264194733426,0.1971112912967443,1.3008156636736391e-73,5.212264299087178e-68,Sen. Tc/NK
ENSG00000211713,TRBV6-4,6,0.25514028281574697,0.7558374658348703,0.2982062780269058,0.8555832040287455,0.18598208453387588,1.510083884965248e-69,6.0507853203449513e-64,Sen. Tc/NK
ENSG00000198851,CD3E,6,0.30914114103473955,3.3238110196842205,0.984304932735426,0.31407049863666026,0.5096354180224084,2.7598919756322582e-188,1.1058666355000408e-182,Sen. Tc/NK
ENSG00000167286,CD3D,6,0.289973678355111,1.458054709492559,0.8878923766816144,0.32658651653126136,0.3787112879143993,4.149935589397691e-140,1.6628459911869397e-134,Sen. Tc/NK
ENSG00000139187,KLRG1,6,0.418329228214285,1.167623912870109,0.7892376681614349,0.5300421471124179,0.46654042483082353,2.1008940523642887e-172,8.418114396299516e-167,Sen. Tc/NK
ENSG00000111796,KLRB1,6,0.5443169890931554,6.4264098220868275,0.9887892376681614,0.5504883835273182,0.7559005720303711,1.6785248406983562e-279,6.725714754691057e-274,Sen. Tc/NK
ENSG00000256553,TRAV1-2,6,0.5851506046779388,1.1581881771526485,0.7085201793721974,0.825877119260635,0.5173288841790348,4.010462495455386e-191,1.6069602382290095e-185,Sen. Tc/NK
